Rank,Country,Years,Date
1,Monaco,89.52,2015 est.
2,Japan,84.74,2015 est.
3,Singapore,84.68,2015 est.
4,Macau,84.51,2015 est.
5,San Marino,83.24,2015 est.
6,Iceland,82.97,2015 est.
7,Hong Kong,82.86,2015 est.
8,Andorra,82.72,2015 est.
9,Switzerland,82.5,2015 est.
10,Guernsey,82.47,2015 est.
11,Israel,82.27,2015 est.
12,Luxembourg,82.17,2015 est.
13,Australia,82.15,2015 est.
14,Italy,82.12,2015 est.
15,Sweden,81.98,2015 est.
16,Liechtenstein,81.77,2015 est.
17,Jersey,81.76,2015 est.
18,Canada,81.76,2015 est.
19,France,81.75,2015 est.
20,Norway,81.7,2015 est.
21,Spain,81.57,2015 est.
22,Austria,81.39,2015 est.
23,Anguilla,81.31,2015 est.
24,Netherlands,81.23,2015 est.
25,Bermuda,81.15,2015 est.
26,Cayman Islands,81.13,2015 est.
27,Isle of Man,81.09,2015 est.
28,New Zealand,81.05,2015 est.
29,Belgium,80.88,2015 est.
30,Finland,80.77,2015 est.
31,Ireland,80.68,2015 est.
32,Germany,80.57,2015 est.
33,United Kingdom,80.54,2015 est.
34,Greece,80.43,2015 est.
35,Saint Pierre and Miquelon,80.39,2015 est.
36,Malta,80.25,2015 est.
37,Faroe Islands,80.24,2015 est.
38,European Union,80.2,2015 est.
39,"Korea, South",80.04,2015 est.
40,Taiwan,79.98,2015 est.
41,Virgin Islands,79.89,2015 est.
42,Turks and Caicos Islands,79.69,2015 est.
43,United States,79.68,2015 est.
44,Wallis and Futuna,79.57,2015 est.
45,"Saint Helena, Ascension and Tristan da Cunha",79.36,2015 est.
46,Gibraltar,79.28,2015 est.
47,Denmark,79.25,2015 est.
48,Puerto Rico,79.25,2015 est.
49,Portugal,79.16,2015 est.
50,Guam,78.98,2015 est.
51,Bahrain,78.73,2015 est.
52,Chile,78.61,2015 est.
53,Qatar,78.59,2015 est.
54,Cyprus,78.51,2015 est.
55,Czech Republic,78.48,2015 est.
56,Panama,78.47,2015 est.
57,British Virgin Islands,78.46,2015 est.
58,Costa Rica,78.4,2015 est.
59,Cuba,78.39,2015 est.
60,Albania,78.13,2015 est.
61,Slovenia,78.01,2015 est.
62,Curacao,77.98,2014 est.
63,Dominican Republic,77.97,2015 est.
64,Kuwait,77.82,2015 est.
65,Northern Mariana Islands,77.82,2015 est.
66,Argentina,77.69,2015 est.
67,Sint Maarten,77.61,2013 est.
68,Saint Lucia,77.6,2015 est.
69,New Caledonia,77.5,2015 est.
70,Lebanon,77.4,2015 est.
71,Poland,77.4,2015 est.
72,United Arab Emirates,77.29,2015 est.
73,Uruguay,77,2015 est.
74,Paraguay,76.99,2015 est.
75,French Polynesia,76.98,2015 est.
76,Brunei,76.97,2015 est.
77,Slovakia,76.88,2015 est.
78,Dominica,76.79,2015 est.
79,Morocco,76.71,2015 est.
80,Croatia,76.61,2015 est.
81,Algeria,76.59,2015 est.
82,Ecuador,76.56,2015 est.
83,Aruba,76.56,2015 est.
84,Sri Lanka,76.56,2015 est.
85,Bosnia and Herzegovina,76.55,2015 est.
86,Estonia,76.47,2015 est.
87,Antigua and Barbuda,76.33,2015 est.
88,Libya,76.26,2015 est.
89,Tonga,76.04,2015 est.
90,Macedonia,76.02,2015 est.
91,Georgia,75.95,2015 est.
92,West Bank,75.91,2015 est.
93,Tunisia,75.89,2015 est.
94,Hungary,75.69,2015 est.
95,Mexico,75.65,2015 est.
96,Cook Islands,75.6,2015 est.
97,Saint Kitts and Nevis,75.52,2015 est.
98,Colombia,75.48,2015 est.
99,China,75.41,2015 est.
100,Mauritius,75.4,2015 est.
101,Maldives,75.37,2015 est.
102,Serbia,75.26,2015 est.
103,Oman,75.21,2015 est.
104,Barbados,75.18,2015 est.
105,American Samoa,75.14,2015 est.
106,Solomon Islands,75.12,2015 est.
107,Saint Vincent and the Grenadines,75.09,2015 est.
108,Saudi Arabia,75.05,2015 est.
109,Romania,74.92,2015 est.
110,Gaza Strip,74.87,2015 est.
111,Iraq,74.85,2015 est.
112,Malaysia,74.75,2015 est.
113,Lithuania,74.69,2015 est.
114,Syria,74.69,2015 est.
115,Turkey,74.57,2015 est.
116,Venezuela,74.54,2015 est.
117,Seychelles,74.49,2015 est.
118,Thailand,74.43,2015 est.
119,El Salvador,74.42,2015 est.
120,Bulgaria,74.39,2015 est.
121,Armenia,74.37,2015 est.
122,Jordan,74.35,2015 est.
123,Latvia,74.23,2015 est.
124,Montserrat,74.14,2015 est.
125,Grenada,74.05,2015 est.
126,Egypt,73.7,2015 est.
127,Jamaica,73.55,2015 est.
128,Uzbekistan,73.55,2015 est.
129,Brazil,73.53,2015 est.
130,Peru,73.48,2015 est.
131,Samoa,73.46,2015 est.
132,Vietnam,73.16,2015 est.
133,Vanuatu,73.06,2015 est.
134,Nicaragua,72.98,2015 est.
135,Palau,72.87,2015 est.
136,Marshall Islands,72.84,2015 est.
137,"Micronesia, Federated States of",72.62,2015 est.
138,Trinidad and Tobago,72.59,2015 est.
139,Belarus,72.48,2015 est.
140,Indonesia,72.45,2015 est.
141,Fiji,72.43,2015 est.
142,"Bahamas, The",72.2,2015 est.
